distance,is_caught
7.3,false
3,false
3.1,false
1.1,true
6.6,false
3.5,true
7.7,false
4.3,true
4.1,false
4.2,false
5.6,false
1.2,true
3.5,false
6.2,false
1.1,true
4,false
3.9,true
2.7,false
7.7,false
1.9,true
1.9,true
2,true
3.7,true
2.5,false
3.4,true
2.1,true
7.9,false
2,true
5.5,false
6.3,false
7.9,false
6.1,false
2,true
5.7,false
4.2,true
6.8,false
3.9,false
3.8,false
7.1,false
2.5,true
1.5,true
2.4,true
1.3,true
7,false
4.7,false
6.7,false
4.9,false
2.1,true
7.8,false
2.3,true
7.3,false
4.4,false
4.8,false
7.4,false
2.1,true
1.6,true
2.1,true
3.8,false
4.5,true
6.8,false
5.6,false
6.4,false
7.3,false
6.6,false
1.8,true
2.6,false
7.3,false
1.1,true
3,false
7,false
4.4,true
5.4,false
6.7,false
1,true
1.6,true
5.4,false
5.5,false
1,true
1,true
5.2,false
4.6,true
7.3,false
2.8,false
7.3,false
4.8,false
7.3,false
7.9,false
7.3,false
2.4,true
2.6,true
1.5,true
6.7,false
2.5,true
4.5,true
4.9,false
2.2,true
7.5,false
3.3,false
6.5,false
6.6,true
